order_id,sales_order_number,customer_id,customer_name,customer_priority_class,product_code,product_category,order_quantity_tons,destination_city,destination_state,order_date,requested_delivery_date,delivery_due_days,penalty_applicable_flag,penalty_cost_per_day,transport_mode_requested,order_status,special_instructions
1,SO-BSP-2026-00001,CUST-0001,Tata Steel Ltd,High,HR-COIL,Flat,1245.2,Mumbai,Maharashtra,2026-03-01,2026-04-02,13,True,223436,Rail,In Process,
2,SO-BSP-2026-00002,CUST-0002,JSW Steel,High,CR-SHEET,Flat,959.7,Delhi,Delhi,2026-03-08,2026-03-24,4,True,108596,Rail,In Process,
3,SO-BSP-2026-00003,CUST-0003,RINL Vizag,High,PLATE-H,Flat,862.1,Kolkata,West Bengal,2026-03-10,2026-04-03,14,True,258912,Rail,In Process,
4,SO-BSP-2026-00004,CUST-0004,JSPL Raigarh,Medium,PLATE-M,Flat,772.2,Chennai,Tamil Nadu,2026-03-01,2026-03-31,11,True,193587,Rail,Pending,
5,SO-BSP-2026-00005,CUST-0005,Essar Steel,Medium,SLAB-A,Semi-Finished,435.9,Hyderabad,Telangana,2026-03-17,2026-03-30,10,True,33101,Rail,In Process,
6,SO-BSP-2026-00006,CUST-0006,SAIL Durgapur,Low,SLAB-B,Semi-Finished,927.4,Pune,Maharashtra,2026-03-10,2026-03-28,8,True,312266,Rail,Dispatched,
7,SO-BSP-2026-00007,CUST-0007,Bhushan Steel,High,BILLET-S,Semi-Finished,1277.1,Ahmedabad,Gujarat,2026-02-21,2026-04-03,14,True,218298,Rail,Pending,
8,SO-BSP-2026-00008,CUST-0008,Uttam Galva,Low,BILLET-H,Semi-Finished,1299.1,Surat,Gujarat,2026-03-03,2026-03-25,5,True,228359,Rail,Dispatched,
9,SO-BSP-2026-00009,CUST-0009,Rashtriya Ispat Nigam,High,TMT-12,Long,719.0,Jaipur,Rajasthan,2026-03-09,2026-03-28,8,True,38620,Rail,Dispatched,
10,SO-BSP-2026-00010,CUST-0010,Kalyani Steels,High,TMT-16,Long,1003.2,Lucknow,Uttar Pradesh,2026-03-15,2026-04-01,12,True,111861,Rail,Pending,
11,SO-BSP-2026-00011,CUST-0011,Mahindra Steel,Medium,TMT-20,Long,933.0,Kanpur,Uttar Pradesh,2026-03-11,2026-03-24,4,True,90259,Rail,Pending,Priority delivery
12,SO-BSP-2026-00012,CUST-0012,L&T Construction,Low,WIRE-ROD,Long,1375.4,Nagpur,Maharashtra,2026-02-25,2026-04-01,12,True,289389,Rail,Pending,
13,SO-BSP-2026-00013,CUST-0013,Adani Ports,Low,STRUCT-A,Long,742.4,Visakhapatnam,Andhra Pradesh,2026-03-18,2026-03-28,8,True,174000,Rail,In Process,
14,SO-BSP-2026-00014,CUST-0014,GMR Infrastructure,Low,PIG-IRON,Raw,1331.4,Bhopal,Madhya Pradesh,2026-02-21,2026-03-25,5,True,243585,Rail,Pending,
15,SO-BSP-2026-00015,CUST-0015,Hindustan Zinc,Low,HR-COIL,Flat,963.5,Patna,Bihar,2026-03-15,2026-03-26,6,True,109883,Rail,Pending,
