order_id,product_code,quantity_tons,destination_city,due_days,priority_class
1,HR-COIL,447.0,Mumbai,13,High
2,CR-SHEET,409.38,Delhi,4,High
3,PLATE-H,188.51,Kolkata,14,High
4,PLATE-M,245.27,Chennai,11,Medium
5,SLAB-A,473.86,Hyderabad,10,Medium
6,SLAB-B,85.52,Pune,8,Low
7,BILLET-S,298.14,Ahmedabad,14,High
8,BILLET-H,343.96,Surat,5,Low
9,TMT-12,285.12,Jaipur,8,High
10,TMT-16,61.5,Lucknow,12,High
11,TMT-20,252.18,Kanpur,4,Medium
12,WIRE-ROD,422.13,Nagpur,12,Low
13,STRUCT-A,473.88,Visakhapatnam,8,Low
14,PIG-IRON,469.27,Bhopal,5,Low
15,HR-COIL,287.04,Patna,6,Low
16,CR-SHEET,58.23,Ludhiana,6,Low
17,PLATE-H,356.49,Agra,11,Medium
18,PLATE-M,437.08,Vadodara,4,High
19,SLAB-A,482.01,Nashik,5,High
20,SLAB-B,297.72,Faridabad,4,High
21,BILLET-S,485.44,Meerut,2,Medium
22,BILLET-H,362.69,Rajkot,1,Medium
23,TMT-12,67.11,Coimbatore,11,High
24,TMT-16,100.12,Jabalpur,9,Low
25,TMT-20,132.19,Gwalior,14,Low
26,WIRE-ROD,276.94,Vijayawada,12,Medium
27,STRUCT-A,347.74,Jodhpur,11,Medium
28,PIG-IRON,406.3,Madurai,8,Low
29,HR-COIL,184.98,Raipur,3,Medium
30,CR-SHEET,161.16,Kota,14,Medium
31,PLATE-H,254.86,Ranchi,6,High
32,PLATE-M,411.13,Howrah,11,High
33,SLAB-A,60.16,Dhanbad,6,High
34,SLAB-B,212.72,Jamshedpur,7,High
35,BILLET-S,212.87,Bhilai,8,High
36,BILLET-H,286.05,Durgapur,14,High
37,TMT-12,84.64,Rourkela,1,Low
38,TMT-16,234.72,Bokaro,10,Low
39,TMT-20,494.55,Allahabad,8,High
40,WIRE-ROD,167.13,Varanasi,1,Medium
41,STRUCT-A,339.26,Mumbai,3,High
42,PIG-IRON,358.7,Delhi,11,Low
43,HR-COIL,320.47,Kolkata,3,Low
44,CR-SHEET,186.05,Chennai,12,Medium
45,PLATE-H,278.9,Hyderabad,13,High
46,PLATE-M,265.44,Pune,7,Low
47,SLAB-A,56.51,Ahmedabad,4,Medium
48,SLAB-B,194.64,Surat,3,Low
49,BILLET-S,257.12,Jaipur,6,Low
50,BILLET-H,103.85,Lucknow,13,Low
51,TMT-12,270.94,Kanpur,5,High
52,TMT-16,496.46,Nagpur,6,High
53,TMT-20,255.59,Visakhapatnam,13,High
54,WIRE-ROD,207.32,Bhopal,2,Medium
55,STRUCT-A,378.04,Patna,14,Medium
56,PIG-IRON,111.1,Ludhiana,10,High
57,HR-COIL,160.81,Agra,9,Medium
58,CR-SHEET,421.35,Vadodara,3,High
59,PLATE-H,65.9,Nashik,8,Low
60,PLATE-M,124.39,Faridabad,7,Low
61,SLAB-A,144.5,Meerut,2,Low
62,SLAB-B,67.49,Rajkot,9,Low
63,BILLET-S,109.06,Coimbatore,1,Medium
64,BILLET-H,137.76,Jabalpur,10,Low
65,TMT-12,411.19,Gwalior,1,Medium
66,TMT-16,466.41,Vijayawada,10,High
67,TMT-20,213.46,Jodhpur,14,Low
68,WIRE-ROD,393.43,Madurai,11,Medium
69,STRUCT-A,403.23,Raipur,4,High
70,PIG-IRON,376.01,Kota,10,High
71,HR-COIL,435.47,Ranchi,8,Low
72,CR-SHEET,405.06,Howrah,7,High
73,PLATE-H,171.49,Dhanbad,12,Medium
74,PLATE-M,95.73,Jamshedpur,13,High
75,SLAB-A,239.66,Bhilai,4,Low
76,SLAB-B,96.31,Durgapur,9,Medium
77,BILLET-S,354.09,Rourkela,14,High
78,BILLET-H,156.8,Bokaro,5,High
79,TMT-12,163.49,Allahabad,9,Medium
80,TMT-16,197.79,Varanasi,2,Low
81,TMT-20,198.86,Mumbai,12,High
82,WIRE-ROD,320.12,Delhi,7,High
83,STRUCT-A,176.05,Kolkata,2,High
84,PIG-IRON,60.64,Chennai,3,High
85,HR-COIL,420.36,Hyderabad,12,High
86,CR-SHEET,190.96,Pune,9,Low
87,PLATE-H,453.33,Ahmedabad,13,High
88,PLATE-M,445.88,Surat,11,High
89,SLAB-A,130.38,Jaipur,13,Low
90,SLAB-B,305.6,Lucknow,8,Low
91,BILLET-S,379.04,Kanpur,6,Medium
92,BILLET-H,116.31,Nagpur,6,Low
93,TMT-12,414.21,Visakhapatnam,9,Low
94,TMT-16,117.47,Bhopal,4,Medium
95,TMT-20,132.91,Patna,2,Low
96,WIRE-ROD,146.26,Ludhiana,5,High
97,STRUCT-A,80.4,Agra,6,High
98,PIG-IRON,341.76,Vadodara,7,Low
99,HR-COIL,398.3,Nashik,8,Medium
100,CR-SHEET,127.4,Faridabad,1,High
101,PLATE-H,335.44,Meerut,7,High
102,PLATE-M,319.33,Rajkot,10,High
103,SLAB-A,367.87,Coimbatore,11,High
104,SLAB-B,157.5,Jabalpur,8,Medium
105,BILLET-S,134.92,Gwalior,5,Low
106,BILLET-H,157.52,Vijayawada,5,Low
107,TMT-12,155.58,Jodhpur,6,Low
108,TMT-16,244.09,Madurai,11,Medium
109,TMT-20,440.39,Raipur,4,Medium
110,WIRE-ROD,205.02,Kota,4,Low
111,STRUCT-A,483.26,Ranchi,7,High
112,PIG-IRON,113.61,Howrah,12,Low
113,HR-COIL,148.02,Dhanbad,14,Medium
114,CR-SHEET,102.73,Jamshedpur,10,Medium
115,PLATE-H,362.92,Bhilai,1,Medium
116,PLATE-M,182.81,Durgapur,7,Medium
117,SLAB-A,263.63,Rourkela,8,High
118,SLAB-B,328.31,Bokaro,8,High
119,BILLET-S,300.82,Allahabad,4,High
120,BILLET-H,460.82,Varanasi,6,High
121,TMT-12,422.35,Mumbai,8,Medium
122,TMT-16,463.49,Delhi,2,Low
123,TMT-20,306.3,Kolkata,11,Medium
124,WIRE-ROD,176.44,Chennai,14,Medium
125,STRUCT-A,446.92,Hyderabad,14,Low
126,PIG-IRON,470.03,Pune,1,Medium
127,HR-COIL,339.03,Ahmedabad,12,High
128,CR-SHEET,54.0,Surat,7,Low
129,PLATE-H,363.2,Jaipur,10,Medium
130,PLATE-M,184.65,Lucknow,2,Medium
131,SLAB-A,226.37,Kanpur,14,High
132,SLAB-B,458.88,Nagpur,4,High
133,BILLET-S,392.42,Visakhapatnam,7,High
134,BILLET-H,462.93,Bhopal,6,High
135,TMT-12,179.98,Patna,6,High
136,TMT-16,99.92,Ludhiana,5,High
137,TMT-20,188.42,Agra,2,Medium
138,WIRE-ROD,226.84,Vadodara,7,High
139,STRUCT-A,404.01,Nashik,2,Medium
140,PIG-IRON,64.98,Faridabad,3,Medium
141,HR-COIL,265.18,Meerut,12,Low
142,CR-SHEET,318.28,Rajkot,4,High
143,PLATE-H,194.76,Coimbatore,10,High
144,PLATE-M,418.33,Jabalpur,8,Medium
145,SLAB-A,260.02,Gwalior,10,Low
146,SLAB-B,91.88,Vijayawada,13,Low
147,BILLET-S,241.02,Jodhpur,4,High
148,BILLET-H,150.14,Madurai,14,High
149,TMT-12,300.49,Raipur,9,Low
150,TMT-16,372.49,Kota,3,High
151,TMT-20,252.09,Ranchi,11,High
152,WIRE-ROD,273.95,Howrah,1,High
153,STRUCT-A,119.87,Dhanbad,7,High
154,PIG-IRON,482.01,Jamshedpur,9,Medium
155,HR-COIL,481.32,Bhilai,13,Medium
156,CR-SHEET,92.14,Durgapur,3,Medium
157,PLATE-H,61.64,Rourkela,11,High
