customer_id,customer_name,customer_email,industry_type,customer_priority_class,contract_type,preferred_transport_mode,credit_rating,region,destination_city
CUST-0001,Tata Steel Ltd,procurement@tatasteel.com,Steel,High,Annual,Road,AA,Maharashtra,Mumbai
CUST-0002,JSW Steel,logistics@jsw.in,Steel,High,Spot,Road,AA,Delhi,Delhi
CUST-0003,RINL Vizag,dispatch@rinl.co.in,Steel,High,Quarterly,Rail,AA,West Bengal,Kolkata
CUST-0004,JSPL Raigarh,supply@jspl.com,Steel,Medium,Quarterly,Road,A,Tamil Nadu,Chennai
CUST-0005,Essar Steel,freight@essar.com,Steel,Medium,Long-Term,Rail,A,Telangana,Hyderabad
CUST-0006,SAIL Durgapur,logistics.dsp@sail.in,Steel,Low,Long-Term,Road,AA,Maharashtra,Pune
CUST-0007,Bhushan Steel,purchase@bhushansteel.com,Steel,High,Spot,Road,AA,Gujarat,Ahmedabad
CUST-0008,Uttam Galva,supply@uttamgalva.com,Steel,Low,Annual,Rail,BBB,Gujarat,Surat
CUST-0009,Rashtriya Ispat Nigam,logistics@rinl.co.in,Steel,High,Long-Term,Road,AAA,Rajasthan,Jaipur
CUST-0010,Kalyani Steels,procurement@kalyanisteels.com,Steel,High,Annual,Rail,A,Uttar Pradesh,Lucknow
CUST-0011,Mahindra Steel,steel.logistics@mahindra.com,Steel,Medium,Quarterly,Rail,A,Uttar Pradesh,Kanpur
CUST-0012,L&T Construction,materials@larsentoubro.com,Construction,Low,Spot,Road,AA,Maharashtra,Nagpur
CUST-0013,Adani Ports,freight@adaniports.com,Infrastructure,Low,Quarterly,Rail,AAA,Andhra Pradesh,Visakhapatnam
CUST-0014,GMR Infrastructure,logistics@gmrgroup.in,Infrastructure,Low,Quarterly,Rail,AAA,Madhya Pradesh,Bhopal
CUST-0015,Hindustan Zinc,purchase@hindzinc.com,Mining,Low,Quarterly,Rail,BBB,Bihar,Patna
CUST-0016,Vedanta Resources,supply@vedanta.co.in,Mining,Low,Annual,Road,AAA,Punjab,Ludhiana
CUST-0017,NMDC Ltd,logistics@nmdc.co.in,Mining,Medium,Quarterly,Rail,AA,Uttar Pradesh,Agra
CUST-0018,Coal India Ltd,material@coalindia.in,Mining,Medium,Annual,Rail,AAA,Gujarat,Vadodara
CUST-0019,NTPC Ltd,procurement@ntpc.co.in,Power,High,Long-Term,Rail,AAA,Maharashtra,Nashik
CUST-0020,BHEL Trichy,materials.trichy@bhel.in,Manufacturing,High,Spot,Rail,A,Haryana,Faridabad
CUST-0021,Larsen & Toubro,procurement@lntecc.com,Construction,Medium,Long-Term,Rail,AA,Uttar Pradesh,Meerut
